,      74,    1,   20120801, ARG, ARGH                , Alabama             ,cf2012    
17346,3425.0,67.0,20120908.0, ARG, ARGH                , Illinois            ,cf2012    
17347,4194.0,68.0,20120908.0, ARG, ARGH                , ULL                 ,cf2012    
17348,7729.0,69.0,20120908.0, ARG, ARGH                , Syracuse            ,cf2012    
17349,3781.0,70.0,20120908.0, ARG, ARGH                , Kentucky            ,cf2012    
17350,783.0,71.0,20120908.0, ARG, ARGH                , Boston College      ,cf2012    
17351,8508.0,72.0,20120908.0, ARG, ARGH                , Wake Forest         ,cf2012    
17352,6114.0,73.0,20120908.0, ARG, ARGH                , Penn St             ,cf2012    
17353,3347.0,74.0,20120908.0, ARG, ARGH                , Houston             ,cf2012    
17354,7978.0,75.0,20120908.0, ARG, ARGH                , Toledo              ,cf2012    
17355,8761.0,76.0,20120908.0, ARG, ARGH                , WKU                 ,cf2012    
17356,4436.0,77.0,20120908.0, ARG, ARGH                , Marshall            ,cf2012    
17357,4858.0,78.0,20120908.0, ARG, ARGH                , Minnesota           ,cf2012    
17358,7358.0,79.0,20120908.0, ARG, ARGH                , SMU                 ,cf2012    
17359,2265.0,80.0,20120908.0, ARG, ARGH                , Duke                ,cf2012    
17360,821.0,81.0,20120908.0, ARG, ARGH                , Bowling Green       ,cf2012    
17361,4725.0,82.0,20120908.0, ARG, ARGH                , Miami OH            ,cf2012    
17362,2652.0,83.0,20120908.0, ARG, ARGH                , Florida Intl        ,cf2012    
17363,8767.0,84.0,20120908.0, ARG, ARGH                , W Michigan          ,cf2012    
17364,3484.0,85.0,20120908.0, ARG, ARGH                , Indiana             ,cf2012    
17365,2292.0,86.0,20120908.0, ARG, ARGH                , East Carolina       ,cf2012    
